Country,Fossil_Fuel,Year,Percentage
Austria,Natural Gas,2013,76 %
Austria,Natural Gas,2014,0 %
Austria,Natural Gas,2015,0 %
Austria,Natural Gas,2016,0 %
Austria,Natural Gas,2017,0 %
Austria,Natural Gas,2018,0 %
Austria,Natural Gas,2019,0 %
Austria,Natural Gas,2020,0 %
Austria,Natural Gas,2021,0 %
Belgium,Coal,1990,1 %
Belgium,Coal,1991,3 %
Belgium,Coal,1992,2 %
Belgium,Coal,1993,3 %
Belgium,Coal,1994,1 %
Belgium,Coal,1995,1 %
Belgium,Coal,1996,2 %
Belgium,Coal,1997,5 %
Belgium,Coal,1998,7 %
Belgium,Coal,1999,8 %
Belgium,Coal,2000,10 %
Belgium,Coal,2001,12 %
Belgium,Coal,2002,12 %
Belgium,Coal,2003,11 %
Belgium,Coal,2004,15 %
Belgium,Coal,2005,12 %
Belgium,Coal,2006,10 %
Belgium,Coal,2007,17 %
Belgium,Coal,2008,20 %
Belgium,Coal,2009,5 %
Belgium,Coal,2010,2 %
Belgium,Coal,2011,1 %
Belgium,Coal,2012,10 %
Belgium,Coal,2013,23 %
Belgium,Coal,2014,25 %
Belgium,Coal,2015,23 %
Belgium,Coal,2016,27 %
Belgium,Coal,2017,25 %
Belgium,Coal,2018,32 %
Belgium,Coal,2019,31 %
Belgium,Coal,2020,32 %
Belgium,Coal,2021,31 %
Belgium,Oil,1990,27 %
Belgium,Oil,1991,18 %
Belgium,Oil,1992,12 %
Belgium,Oil,1993,16 %
Belgium,Oil,1994,13 %
Belgium,Oil,1995,15 %
Belgium,Oil,1996,18 %
Belgium,Oil,1997,16 %
Belgium,Oil,1998,17 %
Belgium,Oil,1999,24 %
Belgium,Oil,2000,27 %
Belgium,Oil,2001,25 %
Belgium,Oil,2002,46 %
Belgium,Oil,2003,52 %
Belgium,Oil,2004,63 %
Belgium,Oil,2005,63 %
Belgium,Oil,2006,62 %
Belgium,Oil,2007,77 %
Belgium,Oil,2008,63 %
Belgium,Oil,2009,55 %
Belgium,Oil,2010,66 %
Belgium,Oil,2011,67 %
Belgium,Oil,2012,61 %
Belgium,Oil,2013,63 %
Belgium,Oil,2014,59 %
Belgium,Oil,2015,50 %
Belgium,Oil,2016,58 %
Belgium,Oil,2017,80 %
Belgium,Oil,2018,64 %
Belgium,Oil,2019,59 %
Belgium,Oil,2020,45 %
Belgium,Oil,2021,44 %
Belgium,Natural Gas,1990,0 %
Belgium,Natural Gas,1991,0 %
Belgium,Natural Gas,1992,0 %
Belgium,Natural Gas,1993,0 %
Belgium,Natural Gas,1994,0 %
Belgium,Natural Gas,1995,0 %
Belgium,Natural Gas,1996,0 %
Belgium,Natural Gas,1997,0 %
Belgium,Natural Gas,1998,0 %
Belgium,Natural Gas,1999,0 %
Belgium,Natural Gas,2000,0 %
Belgium,Natural Gas,2001,0 %
Belgium,Natural Gas,2002,0 %
Belgium,Natural Gas,2003,0 %
Belgium,Natural Gas,2004,2 %
Belgium,Natural Gas,2005,5 %
Belgium,Natural Gas,2006,4 %
Belgium,Natural Gas,2007,5 %
Belgium,Natural Gas,2008,5 %
Belgium,Natural Gas,2009,3 %
Belgium,Natural Gas,2010,2 %
Belgium,Natural Gas,2011,0 %
Belgium,Natural Gas,2012,0 %
Belgium,Natural Gas,2013,0 %
Belgium,Natural Gas,2014,0 %
Belgium,Natural Gas,2015,0 %
Belgium,Natural Gas,2016,0 %
Belgium,Natural Gas,2017,0 %
Belgium,Natural Gas,2018,2 %
Belgium,Natural Gas,2019,11 %
Belgium,Natural Gas,2020,8 %
Belgium,Natural Gas,2021,8 %
Bulgaria,Coal,1990,0 %
Bulgaria,Coal,1991,0 %
Bulgaria,Coal,1992,0 %
Bulgaria,Coal,1993,0 %
Bulgaria,Coal,1994,0 %
Bulgaria,Coal,1995,0 %
Bulgaria,Coal,1996,0 %
Bulgaria,Coal,1997,3 %
Bulgaria,Coal,1998,5 %
Bulgaria,Coal,1999,4 %
Bulgaria,Coal,2000,7 %
Bulgaria,Coal,2001,0 %
Bulgaria,Coal,2002,9 %
Bulgaria,Coal,2003,11 %
Bulgaria,Coal,2004,10 %
Bulgaria,Coal,2005,11 %
Bulgaria,Coal,2006,14 %
Bulgaria,Coal,2007,9 %
Bulgaria,Coal,2008,11 %
Bulgaria,Coal,2009,10 %
Bulgaria,Coal,2010,7 %
Bulgaria,Coal,2011,8 %
Bulgaria,Coal,2012,7 %
Bulgaria,Coal,2013,9 %
Bulgaria,Coal,2014,7 %
Bulgaria,Coal,2015,9 %
Bulgaria,Coal,2016,7 %
Bulgaria,Coal,2017,8 %
Bulgaria,Coal,2018,8 %
Bulgaria,Coal,2019,8 %
Bulgaria,Coal,2020,9 %
Bulgaria,Coal,2021,9 %
Bulgaria,Oil,1990,87 %
Bulgaria,Oil,1991,75 %
Bulgaria,Oil,1992,42 %
Bulgaria,Oil,1993,96 %
Bulgaria,Oil,1994,126 %
Bulgaria,Oil,1995,134 %
Bulgaria,Oil,1996,130 %
Bulgaria,Oil,1997,133 %
Bulgaria,Oil,1998,118 %
Bulgaria,Oil,1999,127 %
Bulgaria,Oil,2000,126 %
Bulgaria,Oil,2001,133 %
Bulgaria,Oil,2002,119 %
Bulgaria,Oil,2003,84 %
Bulgaria,Oil,2004,121 %
Bulgaria,Oil,2005,113 %
Bulgaria,Oil,2006,128 %
Bulgaria,Oil,2007,97 %
Bulgaria,Oil,2008,110 %
Bulgaria,Oil,2009,109 %
Bulgaria,Oil,2010,154 %
Bulgaria,Oil,2011,154 %
Bulgaria,Oil,2012,168 %
Bulgaria,Oil,2013,186 %
Bulgaria,Oil,2014,160 %
Bulgaria,Oil,2015,136 %
Bulgaria,Oil,2016,130 %
Bulgaria,Oil,2017,101 %
Bulgaria,Oil,2018,90 %
Bulgaria,Oil,2019,102 %
Bulgaria,Oil,2020,4 %
Bulgaria,Oil,2021,N/A
Bulgaria,Natural Gas,1990,101 %
Bulgaria,Natural Gas,1991,97 %
Bulgaria,Natural Gas,1992,100 %
Bulgaria,Natural Gas,1993,99 %
Bulgaria,Natural Gas,1994,98 %
Bulgaria,Natural Gas,1995,100 %
Bulgaria,Natural Gas,1996,101 %
Bulgaria,Natural Gas,1997,104 %
Bulgaria,Natural Gas,1998,100 %
Bulgaria,Natural Gas,1999,103 %
Bulgaria,Natural Gas,2000,94 %
Bulgaria,Natural Gas,2001,100 %
Bulgaria,Natural Gas,2002,104 %
Bulgaria,Natural Gas,2003,94 %
Bulgaria,Natural Gas,2004,96 %
Bulgaria,Natural Gas,2005,88 %
Bulgaria,Natural Gas,2006,90 %
Bulgaria,Natural Gas,2007,91 %
Bulgaria,Natural Gas,2008,96 %
Bulgaria,Natural Gas,2009,99 %
Bulgaria,Natural Gas,2010,93 %
Bulgaria,Natural Gas,2011,86 %
Bulgaria,Natural Gas,2012,83 %
Bulgaria,Natural Gas,2013,93 %
Bulgaria,Natural Gas,2014,94 %
Bulgaria,Natural Gas,2015,97 %
Bulgaria,Natural Gas,2016,97 %
Bulgaria,Natural Gas,2017,99 %
Bulgaria,Natural Gas,2018,99 %
Bulgaria,Natural Gas,2019,80 %
Bulgaria,Natural Gas,2020,73 %
Bulgaria,Natural Gas,2021,77 %
Canada,Coal,1990,0 %
Canada,Coal,1991,0 %
Canada,Coal,1992,0 %
Canada,Coal,1993,0 %
Canada,Coal,1994,0 %
Canada,Coal,1995,0 %
Canada,Coal,1996,0 %
Canada,Coal,1997,0 %
Canada,Coal,1998,0 %
Canada,Coal,1999,0 %
Canada,Coal,2000,0 %
Canada,Coal,2001,0 %
Canada,Coal,2002,0 %
Canada,Coal,2003,0 %
Canada,Coal,2004,0 %
Canada,Coal,2005,0 %
Canada,Coal,2006,1 %
Canada,Coal,2007,1 %
Canada,Coal,2008,1 %
Canada,Coal,2009,0 %
Canada,Coal,2010,0 %
Canada,Coal,2011,0 %
Canada,Coal,2012,0 %
Canada,Coal,2013,0 %
Canada,Coal,2014,0 %
Canada,Coal,2015,0 %
Canada,Coal,2016,1 %
Canada,Coal,2017,1 %
Canada,Coal,2018,1 %
Canada,Coal,2019,1 %
Canada,Coal,2020,2 %
Canada,Coal,2021,1 %
Canada,Oil,1990,0 %
Canada,Oil,1991,1 %
Canada,Oil,1992,0 %
Canada,Oil,1993,1 %
Canada,Oil,1994,0 %
Canada,Oil,1995,1 %
Canada,Oil,1996,0 %
Canada,Oil,1997,1 %
Canada,Oil,1998,0 %
Canada,Oil,1999,1 %
Canada,Oil,2000,1 %
Canada,Oil,2001,0 %
Canada,Oil,2002,0 %
Canada,Oil,2003,2 %
Canada,Oil,2004,3 %
Canada,Oil,2005,3 %
Canada,Oil,2006,2 %
Canada,Oil,2007,2 %
Canada,Oil,2008,1 %
Canada,Oil,2009,1 %
Canada,Oil,2010,1 %
Canada,Oil,2011,1 %
Canada,Oil,2012,0 %
Canada,Oil,2013,0 %
Canada,Oil,2014,0 %
Canada,Oil,2015,0 %
Canada,Oil,2016,0 %
Canada,Oil,2017,0 %
Canada,Oil,2018,1 %
Canada,Oil,2019,1 %
Canada,Oil,2020,0 %
Canada,Oil,2021,0 %
Canada,Natural Gas,1990,0 %
Canada,Natural Gas,1991,0 %
Canada,Natural Gas,1992,0 %
Canada,Natural Gas,1993,0 %
Canada,Natural Gas,1994,0 %
Canada,Natural Gas,1995,0 %
Canada,Natural Gas,1996,0 %
Canada,Natural Gas,1997,0 %
Canada,Natural Gas,1998,0 %
Canada,Natural Gas,1999,0 %
Canada,Natural Gas,2000,0 %
Canada,Natural Gas,2001,0 %
Canada,Natural Gas,2002,0 %
Canada,Natural Gas,2003,0 %
Canada,Natural Gas,2004,0 %
Canada,Natural Gas,2005,0 %
Canada,Natural Gas,2006,0 %
Canada,Natural Gas,2007,0 %
Canada,Natural Gas,2008,0 %
Canada,Natural Gas,2009,0 %
Canada,Natural Gas,2010,0 %
Canada,Natural Gas,2011,0 %
Canada,Natural Gas,2012,0 %
Canada,Natural Gas,2013,0 %
Canada,Natural Gas,2014,0 %
Canada,Natural Gas,2015,0 %
Canada,Natural Gas,2016,0 %
Canada,Natural Gas,2017,0 %
Canada,Natural Gas,2018,0 %
Canada,Natural Gas,2019,0 %
Canada,Natural Gas,2020,0 %
Canada,Natural Gas,2021,0 %
Chile,Coal,1990,0 %
Chile,Coal,1991,0 %
Chile,Coal,1992,0 %
Chile,Coal,1993,0 %
Chile,Coal,1994,0 %
Chile,Coal,1995,0 %
Chile,Coal,1996,0 %
Chile,Coal,1997,0 %
Chile,Coal,1998,0 %
Chile,Coal,1999,0 %
Chile,Coal,2000,0 %
Chile,Coal,2001,0 %
Chile,Coal,2002,0 %
Chile,Coal,2003,0 %
Chile,Coal,2004,0 %
Chile,Coal,2005,0 %
Chile,Coal,2006,0 %
Chile,Coal,2007,0 %
Chile,Coal,2008,0 %
Chile,Coal,2009,0 %
Chile,Coal,2010,0 %
Chile,Coal,2011,0 %
Chile,Coal,2012,0 %
Chile,Coal,2013,0 %
Chile,Coal,2014,0 %
Chile,Coal,2015,0 %
Chile,Coal,2016,1 %
Chile,Coal,2017,1 %
Chile,Coal,2018,0 %
Chile,Coal,2019,1 %
Chile,Coal,2020,1 %
Chile,Coal,2021,6 %
Chile,Oil,1990,0 %
Chile,Oil,1991,0 %
Chile,Oil,1992,0 %
Chile,Oil,1993,0 %
Chile,Oil,1994,0 %
Chile,Oil,1995,0 %
Chile,Oil,1996,0 %
Chile,Oil,1997,0 %
Chile,Oil,1998,0 %
Chile,Oil,1999,0 %
Chile,Oil,2000,0 %
Chile,Oil,2001,0 %
Chile,Oil,2002,0 %
Chile,Oil,2003,0 %
Chile,Oil,2004,0 %
Chile,Oil,2005,0 %
Chile,Oil,2006,0 %
Chile,Oil,2007,0 %
Chile,Oil,2008,0 %
Chile,Oil,2009,0 %
Chile,Oil,2010,0 %
Chile,Oil,2011,0 %
Chile,Oil,2012,0 %
Chile,Oil,2013,0 %
Chile,Oil,2014,0 %
Chile,Oil,2015,0 %
Chile,Oil,2016,0 %
Chile,Oil,2017,0 %
Chile,Oil,2018,0 %
Chile,Oil,2019,0 %
Chile,Oil,2020,0 %
Chile,Oil,2021,0 %
Chile,Natural Gas,1990,0 %
Chile,Natural Gas,1991,0 %
Chile,Natural Gas,1992,0 %
Chile,Natural Gas,1993,0 %
Chile,Natural Gas,1994,0 %
Chile,Natural Gas,1995,0 %
Chile,Natural Gas,1996,0 %
Chile,Natural Gas,1997,0 %
Chile,Natural Gas,1998,0 %
Chile,Natural Gas,1999,0 %
Chile,Natural Gas,2000,0 %
Chile,Natural Gas,2001,0 %
Chile,Natural Gas,2002,0 %
Chile,Natural Gas,2003,0 %
Chile,Natural Gas,2004,0 %
Chile,Natural Gas,2005,0 %
Chile,Natural Gas,2006,0 %
Chile,Natural Gas,2007,0 %
Chile,Natural Gas,2008,0 %
Chile,Natural Gas,2009,0 %
Chile,Natural Gas,2010,0 %
Chile,Natural Gas,2011,0 %
Chile,Natural Gas,2012,0 %
Chile,Natural Gas,2013,0 %
Chile,Natural Gas,2014,0 %
Chile,Natural Gas,2015,0 %
Chile,Natural Gas,2016,0 %
Chile,Natural Gas,2017,0 %
Chile,Natural Gas,2018,0 %
Chile,Natural Gas,2019,0 %
Chile,Natural Gas,2020,0 %
Chile,Natural Gas,2021,0 %
Colombia,Coal,1990,0 %
Colombia,Coal,1991,0 %
Colombia,Coal,1992,0 %
Colombia,Coal,1993,0 %
Colombia,Coal,1994,0 %
Colombia,Coal,1995,0 %
Colombia,Coal,1996,0 %
Colombia,Coal,1997,0 %
Colombia,Coal,1998,0 %
Colombia,Coal,1999,0 %
Colombia,Coal,2000,0 %
Colombia,Coal,2001,0 %
Colombia,Coal,2002,0 %
Colombia,Coal,2003,0 %
Colombia,Coal,2004,0 %
Colombia,Coal,2005,0 %
Colombia,Coal,2006,0 %
Colombia,Coal,2007,0 %
Colombia,Coal,2008,0 %
Colombia,Coal,2009,0 %
Colombia,Coal,2010,0 %
Colombia,Coal,2011,0 %
Colombia,Coal,2012,0 %
Colombia,Coal,2013,0 %
Colombia,Coal,2014,0 %
Colombia,Coal,2015,0 %
Colombia,Coal,2016,0 %
Colombia,Coal,2017,0 %
Colombia,Coal,2018,0 %
Colombia,Coal,2019,0 %
Colombia,Coal,2020,0 %
Colombia,Coal,2021,0 %
Colombia,Oil,1990,0 %
Colombia,Oil,1991,0 %
Colombia,Oil,1992,0 %
Colombia,Oil,1993,0 %
Colombia,Oil,1994,0 %
Colombia,Oil,1995,0 %
Colombia,Oil,1996,0 %
Colombia,Oil,1997,0 %
Colombia,Oil,1998,0 %
Colombia,Oil,1999,0 %
Colombia,Oil,2000,0 %
Colombia,Oil,2001,0 %
Colombia,Oil,2002,0 %
Colombia,Oil,2003,0 %
Colombia,Oil,2004,0 %
Colombia,Oil,2005,0 %
Colombia,Oil,2006,0 %
Colombia,Oil,2007,0 %
Colombia,Oil,2008,0 %
Colombia,Oil,2009,0 %
Colombia,Oil,2010,0 %
Colombia,Oil,2011,0 %
Colombia,Oil,2012,0 %
Colombia,Oil,2013,0 %
Colombia,Oil,2014,0 %
Colombia,Oil,2015,0 %
Colombia,Oil,2016,0 %
Colombia,Oil,2017,0 %
Colombia,Oil,2018,0 %
Colombia,Oil,2019,0 %
Colombia,Oil,2020,0 %
Colombia,Oil,2021,0 %
Colombia,Natural Gas,1990,0 %
Colombia,Natural Gas,1991,0 %
Colombia,Natural Gas,1992,0 %
Colombia,Natural Gas,1993,0 %
Colombia,Natural Gas,1994,0 %
Colombia,Natural Gas,1995,0 %
Colombia,Natural Gas,1996,0 %
Colombia,Natural Gas,1997,0 %
Colombia,Natural Gas,1998,0 %
Colombia,Natural Gas,1999,0 %
Colombia,Natural Gas,2000,0 %
Colombia,Natural Gas,2001,0 %
Colombia,Natural Gas,2002,0 %
Colombia,Natural Gas,2003,0 %
Colombia,Natural Gas,2004,0 %
Colombia,Natural Gas,2005,0 %
Colombia,Natural Gas,2006,0 %
Colombia,Natural Gas,2007,0 %
Colombia,Natural Gas,2008,0 %
Colombia,Natural Gas,2009,0 %
Colombia,Natural Gas,2010,0 %
Colombia,Natural Gas,2011,0 %
Colombia,Natural Gas,2012,0 %
Colombia,Natural Gas,2013,0 %
Colombia,Natural Gas,2014,0 %
Colombia,Natural Gas,2015,0 %
Colombia,Natural Gas,2016,0 %
Colombia,Natural Gas,2017,0 %
Colombia,Natural Gas,2018,0 %
Colombia,Natural Gas,2019,0 %
Colombia,Natural Gas,2020,0 %
Colombia,Natural Gas,2021,0 %
Costa Rica,Coal,1990,0 %
Costa Rica,Coal,1991,0 %
Costa Rica,Coal,1992,0 %
Costa Rica,Coal,1993,0 %
Costa Rica,Coal,1994,0 %
Costa Rica,Coal,1995,0 %
Costa Rica,Coal,1996,0 %
Costa Rica,Coal,1997,0 %
Costa Rica,Coal,1998,0 %
Costa Rica,Coal,1999,0 %
Costa Rica,Coal,2000,0 %
Costa Rica,Coal,2001,0 %
Costa Rica,Coal,2002,0 %
Costa Rica,Coal,2003,0 %
Costa Rica,Coal,2004,0 %
Costa Rica,Coal,2005,0 %
Costa Rica,Coal,2006,0 %
Costa Rica,Coal,2007,0 %
Costa Rica,Coal,2008,0 %
Costa Rica,Coal,2009,0 %
Costa Rica,Coal,2010,0 %
Costa Rica,Coal,2011,0 %
Costa Rica,Coal,2012,0 %
Costa Rica,Coal,2013,0 %
Costa Rica,Coal,2014,0 %
Costa Rica,Coal,2015,0 %
Costa Rica,Coal,2016,0 %
Costa Rica,Coal,2017,0 %
Costa Rica,Coal,2018,0 %
Costa Rica,Coal,2019,0 %
Costa Rica,Coal,2020,0 %
Costa Rica,Coal,2021,0 %
Costa Rica,Oil,1990,0 %
Costa Rica,Oil,1991,0 %
Costa Rica,Oil,1992,0 %
Costa Rica,Oil,1993,0 %
Costa Rica,Oil,1994,0 %
Costa Rica,Oil,1995,0 %
Costa Rica,Oil,1996,0 %
Costa Rica,Oil,1997,0 %
Costa Rica,Oil,1998,0 %
Costa Rica,Oil,1999,0 %
Costa Rica,Oil,2000,0 %
Costa Rica,Oil,2001,0 %
Costa Rica,Oil,2002,0 %
Costa Rica,Oil,2003,0 %
Costa Rica,Oil,2004,0 %
Costa Rica,Oil,2005,0 %
Costa Rica,Oil,2006,0 %
Costa Rica,Oil,2007,0 %
Costa Rica,Oil,2008,0 %
Costa Rica,Oil,2009,0 %
Costa Rica,Oil,2010,0 %
Costa Rica,Oil,2011,0 %
Costa Rica,Oil,2012,0 %
Costa Rica,Oil,2013,0 %
Costa Rica,Oil,2014,0 %
Costa Rica,Oil,2015,0 %
Costa Rica,Oil,2016,0 %
Costa Rica,Oil,2017,0 %
Costa Rica,Oil,2018,0 %
Costa Rica,Oil,2019,0 %
Costa Rica,Oil,2020,0 %
Costa Rica,Oil,2021,0 %
Costa Rica,Natural Gas,1990,0 %
Costa Rica,Natural Gas,1991,0 %
Costa Rica,Natural Gas,1992,0 %
Costa Rica,Natural Gas,1993,0 %
Costa Rica,Natural Gas,1994,0 %
Costa Rica,Natural Gas,1995,0 %
Costa Rica,Natural Gas,1996,0 %
Costa Rica,Natural Gas,1997,0 %
Costa Rica,Natural Gas,1998,0 %
Costa Rica,Natural Gas,1999,0 %
Costa Rica,Natural Gas,2000,0 %
Costa Rica,Natural Gas,2001,0 %
Costa Rica,Natural Gas,2002,0 %
Costa Rica,Natural Gas,2003,0 %
Costa Rica,Natural Gas,2004,0 %
Costa Rica,Natural Gas,2005,0 %
Costa Rica,Natural Gas,2006,0 %
Costa Rica,Natural Gas,2007,0 %
Costa Rica,Natural Gas,2008,0 %
Costa Rica,Natural Gas,2009,0 %
Costa Rica,Natural Gas,2010,0 %
Costa Rica,Natural Gas,2011,0 %
Costa Rica,Natural Gas,2012,0 %
Costa Rica,Natural Gas,2013,0 %
Costa Rica,Natural Gas,2014,0 %
Costa Rica,Natural Gas,2015,0 %
Costa Rica,Natural Gas,2016,0 %
Costa Rica,Natural Gas,2017,0 %
Costa Rica,Natural Gas,2018,0 %
Costa Rica,Natural Gas,2019,0 %
Costa Rica,Natural Gas,2020,0 %
Costa Rica,Natural Gas,2021,0 %
Croatia,Coal,1990,0 %
Croatia,Coal,1991,0 %
Croatia,Coal,1992,0 %
Croatia,Coal,1993,0 %
Croatia,Coal,1994,18 %
Croatia,Coal,1995,2 %
Croatia,Coal,1996,5 %
Croatia,Coal,1997,5 %
Croatia,Coal,1998,0 %
Croatia,Coal,1999,0 %
Croatia,Coal,2000,2 %
Croatia,Coal,2001,1 %
Croatia,Coal,2002,0 %
Croatia,Coal,2003,0 %
Croatia,Coal,2004,0 %
Croatia,Coal,2005,29 %
Croatia,Coal,2006,44 %
Croatia,Coal,2007,31 %
Croatia,Coal,2008,1 %
Croatia,Coal,2009,25 %
Croatia,Coal,2010,24 %
Croatia,Coal,2011,0 %
Croatia,Coal,2012,0 %
Croatia,Coal,2013,20 %
Croatia,Coal,2014,82 %
Croatia,Coal,2015,64 %
Croatia,Coal,2016,73 %
Croatia,Coal,2017,82 %
Croatia,Coal,2018,37 %
Croatia,Coal,2019,94 %
Croatia,Coal,2020,78 %
Croatia,Coal,2021,78 %
Croatia,Oil,1990,0 %
Croatia,Oil,1991,0 %
Croatia,Oil,1992,0 %
Croatia,Oil,1993,0 %
Croatia,Oil,1994,0 %
Croatia,Oil,1995,0 %
Croatia,Oil,1996,0 %
Croatia,Oil,1997,0 %
Croatia,Oil,1998,0 %
Croatia,Oil,1999,76 %
Croatia,Oil,2000,51 %
Croatia,Oil,2001,40 %
Croatia,Oil,2002,70 %
Croatia,Oil,2003,35 %
Croatia,Oil,2004,73 %
Croatia,Oil,2005,78 %
Croatia,Oil,2006,84 %
Croatia,Oil,2007,89 %
Croatia,Oil,2008,80 %
Croatia,Oil,2009,83 %
Croatia,Oil,2010,63 %
Croatia,Oil,2011,60 %
Croatia,Oil,2012,54 %
Croatia,Oil,2013,65 %
